------------------------------------------------------------
------------------------------------------------------------
곽빈        	곽빈        	12        	곽빈        	곽빈
ssg       	곽빈        	곽빈        	윤동희       	lg
곽빈        	곽빈        	kt        	2         	곽빈
키움        	0         	두산        	0         	맥키니
키움        	0         	두산        	0         	맥키니
키움        	0         	두산        	0         	맥키니
키움        	0         	두산        	0         	맥키니
키움        	0         	두산        	0         	맥키니
키움        	0         	두산        	0         	맥키니
키움        	0         	두산        	0         	맥키니
키움        	0         	두산        	0         	맥키니
10        	곽빈        	곽빈        	곽빈        	14
키움        	0         	두산        	1         	곽빈
키움        	0         	두산        	1         	곽빈
키움        	0         	두산        	1         	곽빈
키움        	0         	두산        	1         	곽빈
키움        	0         	두산        	1         	곽빈
키움        	0         	두산        	1         	곽빈
키움        	0         	두산        	1         	곽빈
키움        	0         	두산        	1         	곽빈
키움        	0         	두산        	1         	곽빈
키움        	0         	두산        	1         	맥키니
키움        	0         	두산        	1         	맥키니
키움        	0         	두산        	1         	맥키니
kt        	곽빈        	kia       	곽빈        	nc
곽빈        	정수빈       	박세혁       	윤동희       	김진욱
키움        	0         	두산        	2         	김명신
키움        	0         	두산        	2         	김명신
키움        	0         	두산        	2         	김명신
키움        	0         	두산        	2         	하영민
키움        	0         	두산        	2         	하영민
키움        	0         	두산        	2         	하영민
키움        	0         	두산        	2         	하영민
두산        	kt        	곽빈        	ssg       	곽빈
곽빈        	곽빈        	1         	곽빈        	곽빈
키움        	0         	두산        	4         	이종민
키움        	0         	두산        	4         	이종민
키움        	0         	두산        	4         	이종민
10        	곽빈        	곽빈        	곽빈        	kia
곽빈        	곽빈        	곽빈        	이도윤       	한화
곽빈        	lg        	곽빈        	ssg       	곽빈
키움        	0         	두산        	7         	김건희
키움        	0         	두산        	7         	김건희
키움        	0         	두산        	7         	김진욱
nc        	1         	kia       	곽빈        	kia
kia       	곽빈        	곽빈        	10        	1
키움        	0         	두산        	10        	최승용
키움        	0         	두산        	10        	최승용
곽빈        	곽빈        	곽빈        	곽빈        	곽빈
------------------------------------------------------------
team1     	score     	team2     	score     	Pitcher
------------------------------------------------------------
kia       	0         	lotte     	0         	이의리
kia       	0         	lotte     	0         	이의리
kia       	0         	lotte     	0         	한현희
kia       	0         	lotte     	0         	이의리
kia       	0         	lotte     	0         	한현희
kia       	0         	lotte     	0         	이의리
kia       	0         	lotte     	0         	한현희
kia       	2         	lotte     	0         	김도규
kia       	5         	lotte     	0         	김도규
kia       	6         	lotte     	0         	임기영
kia       	6         	lotte     	0         	김유신
------------------------------------------------------------
team1     	score     	team2     	score     	Pitcher
------------------------------------------------------------
kia       	0         	lotte     	0         	이의리
kia       	0         	lotte     	0         	이의리
kia       	0         	lotte     	0         	한현희
kia       	0         	lotte     	0         	이의리
kia       	0         	lotte     	0         	한현희
kia       	0         	lotte     	0         	이의리
kia       	0         	lotte     	0         	한현희
kia       	1         	lotte     	0         	김진욱
kia       	2         	lotte     	0         	김진욱
kia       	2         	lotte     	0         	김도규
kia       	4         	lotte     	0         	김도규
kia       	5         	lotte     	0         	김도규
kia       	6         	lotte     	0         	임기영
kia       	6         	lotte     	0         	김유신
------------------------------------------------------------
team1     	score     	team2     	score     	Pitcher
------------------------------------------------------------
kia       	0         	lotte     	0         	이의리
kia       	0         	lotte     	0         	이의리
kia       	0         	lotte     	0         	한현희
